rndindex,playstate,timeCount,tilex,tiley,angle,health,ammo,score,x,y
132,0,472,20,10,186,86,91,400,1361116,678138
139,0,476,20,10,186,86,91,400,1361116,678138
148,0,480,20,10,186,86,91,400,1361116,678138
155,0,484,20,10,186,86,91,400,1361116,678138
158,0,488,20,10,186,86,91,400,1363105,677929
165,0,492,20,10,186,86,91,400,1363105,677929
173,0,496,20,10,186,86,91,400,1363105,677929
182,0,500,20,10,186,86,90,400,1363105,677929
188,0,504,20,10,185,86,90,400,1365097,677929
195,0,508,20,10,185,86,90,400,1365495,677895
204,0,512,20,10,184,86,90,400,1365894,677895
212,0,516,20,10,184,86,90,400,1366293,677895
220,0,520,20,10,184,86,90,400,1368288,677895
227,0,524,20,10,184,86,90,400,1368288,677895
235,0,528,20,10,184,86,89,400,1368288,677895
240,0,532,20,10,184,86,89,400,1369485,677895
248,0,536,20,10,184,86,89,400,1369485,677895
2,0,540,20,10,184,86,89,400,1369884,677895
8,0,544,20,10,184,86,89,400,1370283,677895
13,0,548,20,10,184,86,89,400,1371879,677895
18,0,552,20,10,184,86,89,400,1375470,677895
23,0,556,20,10,184,86,89,400,1375470,677895
30,0,560,20,10,184,86,89,400,1375869,677895
38,0,564,20,10,184,86,88,400,1375869,677895
44,0,568,21,10,184,86,88,400,1377066,677895
49,0,572,21,10,184,86,88,400,1377066,677895
59,0,576,21,10,184,86,88,400,1377066,677895
67,0,580,21,10,184,86,88,400,1377465,677895
74,0,584,21,10,184,86,88,400,1377465,677895
78,0,588,21,10,184,86,88,400,1377864,677895
86,0,592,21,10,184,86,87,400,1378662,677895
90,0,596,21,10,182,86,87,400,1382259,677895
95,0,600,21,10,181,86,87,400,1387058,677895
102,0,604,21,10,180,86,87,400,1393457,677895
108,0,608,21,10,180,86,87,400,1399056,677895
113,0,612,21,10,180,86,87,400,1399056,677895
119,0,616,21,10,180,86,87,400,1399056,677895
128,0,620,21,10,180,76,86,400,1399056,677895
133,0,624,21,10,180,76,86,400,1399056,677895
139,0,628,21,10,180,76,86,400,1392457,677895
145,0,632,21,10,180,76,86,400,1394056,677895
151,0,636,21,10,181,76,86,400,1400055,677895
154,0,640,21,10,182,76,86,400,1409249,677895
159,0,644,21,10,182,76,86,400,1412447,677895
166,0,648,21,10,182,76,85,400,1413646,677895
172,0,652,21,10,182,76,85,400,1418443,677895
177,0,656,21,10,182,76,85,400,1418842,677895
181,0,660,21,10,182,76,85,400,1418842,677895
186,0,664,21,10,182,76,85,400,1418842,677895
194,0,668,21,10,182,76,85,400,1418842,677895
199,0,672,21,10,182,76,85,400,1418842,677895
205,0,676,21,10,182,76,84,800,1418842,677895
209,0,680,21,10,182,76,84,800,1418842,677895
216,0,684,21,10,182,61,84,800,1418842,677895
222,0,688,21,10,182,61,84,800,1419241,677895
228,0,692,21,10,182,61,84,800,1419241,677895
236,0,696,21,10,182,61,84,800,1419241,677895
241,0,700,21,10,182,61,84,800,1419241,677895
246,0,704,21,10,181,61,83,1200,1419241,677889
252,0,708,21,10,181,61,83,1200,1419241,677889
1,0,712,21,10,181,61,83,1200,1419241,677889
5,0,716,21,10,181,61,83,1200,1419241,677889
10,0,720,21,10,181,61,83,1200,1419241,677889
11,0,724,21,10,181,61,83,1200,1419241,677889
17,0,728,21,10,181,61,83,1200,1419241,677889
23,0,732,21,10,181,61,82,1200,1419241,677889
27,0,736,21,10,181,61,82,1200,1419241,677889
33,0,740,21,10,181,61,82,1200,1419241,677889
37,0,744,21,10,181,61,82,1200,1419241,677889
42,0,748,21,10,181,61,82,1200,1419241,677889
49,0,752,21,10,182,61,82,1200,1419241,677889
55,0,756,21,10,183,61,82,1200,1419241,677889
61,0,760,21,10,183,61,81,1200,1419241,677889
65,0,764,21,10,183,61,81,1200,1419241,677889
71,0,768,21,10,183,61,81,1200,1419241,677889
79,0,772,21,10,184,61,81,1200,1419241,677889
85,0,776,21,10,185,61,81,1200,1419241,677889
90,0,780,21,10,185,61,81,1200,1419241,677889
96,0,784,21,10,185,61,81,1200,1419241,677889
99,0,788,21,10,185,61,80,1600,1419241,677889
104,0,792,21,10,185,61,80,1600,1419241,677889
109,0,796,21,10,185,61,80,1600,1419241,677889
113,0,800,21,10,185,61,80,1600,1419241,677889
119,0,804,21,10,185,55,80,1600,1419241,677889
120,0,808,21,10,185,55,80,1600,1419241,677889
127,0,812,21,10,185,55,80,1600,1419241,677889
133,0,816,21,10,185,55,79,1600,1419241,677889
138,0,820,21,10,185,55,79,1600,1419241,677889
141,0,824,21,10,185,55,79,1600,1419241,677889
144,0,828,21,10,184,55,79,1600,1416249,678098
148,0,832,21,10,180,55,79,1600,1409050,678098
152,0,836,21,10,178,55,79,1600,1406652,678015
157,0,840,21,10,177,40,79,1600,1406053,677984
160,0,844,21,10,177,40,78,1600,1405454,677953
163,0,848,21,10,177,40,78,1600,1405454,677953
165,0,852,21,10,177,40,78,1600,1405454,677953
168,0,856,21,10,177,40,78,1600,1405454,677953
170,0,860,21,10,177,40,78,1600,1405454,677953
173,0,864,21,10,177,40,78,1600,1410646,678225
178,0,868,21,10,177,40,78,1600,1413841,678392
180,0,872,21,10,177,40,77,1600,1418634,678643
184,0,876,21,10,178,40,77,1600,1418634,678768
186,0,880,21,10,178,40,77,1600,1419033,678781
190,0,884,21,10,178,40,77,1600,1419033,678781
192,0,888,21,10,178,40,77,1600,1419033,678781
195,0,892,21,10,178,40,77,1600,1419033,678781
201,0,896,21,10,178,33,77,1600,1419033,678781
204,0,900,21,10,178,33,77,1600,1419033,678781
208,0,904,21,10,178,33,77,1600,1419033,678781
210,0,908,21,10,178,33,77,1600,1419033,678781
214,0,912,21,10,178,33,76,1600,1419033,678781
217,0,916,21,10,178,33,76,1600,1419033,678781
221,0,920,21,10,178,33,76,1600,1419033,678781
225,0,924,21,10,178,33,76,1600,1419033,678781
228,0,928,21,10,178,33,76,1600,1419033,678781
231,0,932,21,10,179,33,76,1600,1419033,678781
234,0,936,21,10,180,33,76,1600,1419033,678781
236,0,940,21,10,180,33,76,1600,1419033,678781
238,0,944,21,10,180,33,75,2000,1419033,678781
241,0,948,21,10,180,33,75,2000,1419033,678781
245,0,952,21,10,180,33,75,2000,1419033,678781
249,0,956,21,10,180,33,75,2000,1419033,678781
251,0,960,21,10,180,33,75,2000,1419033,678781
254,0,964,21,10,180,33,75,2000,1419033,678781
0,0,968,21,10,180,33,75,2000,1419033,678781
4,0,972,21,10,180,33,74,2000,1419033,678781
5,0,976,21,10,180,33,74,2000,1419033,678781
7,0,980,21,10,180,33,74,2000,1418434,678781
9,0,984,21,10,180,33,74,2000,1418434,678781
11,0,988,21,10,180,33,74,2000,1418434,678781
15,0,992,21,10,180,33,74,2000,1418434,678781
18,0,996,21,10,180,33,74,2000,1418434,678781
21,0,1000,21,10,180,33,73,2000,1418434,678781
23,0,1004,21,10,180,33,73,2000,1418434,678781
28,0,1008,21,10,180,33,73,2000,1418434,678781
31,0,1012,21,10,180,33,73,2000,1418434,678781
33,0,1016,21,10,180,33,73,2000,1418434,678781
36,0,1020,21,10,180,33,73,2000,1418434,678781
39,0,1024,21,10,180,33,73,2000,1418434,678781
43,0,1028,21,10,180,33,72,2400,1417835,678781
44,0,1032,21,10,180,33,72,2400,1417236,678781
47,0,1036,21,10,180,33,72,2400,1416637,678781
49,0,1040,21,10,181,33,72,2400,1415438,678801
51,0,1044,21,10,181,33,72,2400,1415438,678801
53,0,1048,21,10,182,33,72,2400,1412440,678905
54,0,1052,21,10,182,33,72,2400,1409442,679009
56,0,1056,21,10,182,33,71,2800,1406444,679113
57,0,1060,21,10,182,33,71,2800,1403446,679217
60,0,1064,21,10,182,33,71,2800,1399849,679342
61,0,1068,21,10,182,33,71,2800,1399849,679342
63,0,1072,21,10,182,33,71,2800,1399250,679362
65,0,1076,21,10,182,33,71,2800,1398651,679382
69,0,1080,21,10,182,33,71,2800,1395054,679507
71,0,1084,21,10,182,33,70,2800,1392656,679590
72,0,1088,21,10,182,33,70,2800,1390858,679652
74,0,1092,21,10,182,33,70,2800,1390259,679672
76,0,1096,21,10,182,33,70,2800,1387261,679776
77,0,1100,21,10,182,33,70,2800,1386662,679796
79,0,1104,21,10,182,33,70,2800,1384864,679858
81,0,1108,21,10,182,33,70,2800,1384864,679858
83,0,1112,21,10,182,33,69,2800,1384864,679858
84,0,1116,21,10,182,33,69,2800,1384864,679858
86,0,1120,21,10,182,33,69,2800,1384864,679858
89,0,1124,21,10,182,33,69,2800,1384265,679878
90,0,1128,21,10,182,33,69,2800,1383666,679898
92,0,1132,21,10,182,33,69,2800,1383666,679898
94,0,1136,21,10,182,33,69,2800,1383666,679898
96,0,1140,21,10,182,33,68,2800,1383666,679898
97,0,1144,21,10,182,33,68,2800,1383666,679898
100,0,1148,21,10,182,33,68,2800,1383666,679898
101,0,1152,21,10,182,33,68,2800,1383067,679918
102,0,1156,21,10,182,33,68,2800,1383067,679918
103,0,1160,21,10,182,33,68,2800,1383067,679918
104,0,1164,21,10,182,33,68,2800,1383067,679918
105,0,1168,21,10,182,33,68,2800,1383067,679918
106,0,1172,21,10,182,33,68,2800,1383067,679918
108,0,1176,21,10,182,33,67,3200,1382468,679938
109,0,1180,21,10,182,33,67,3200,1381869,679958
110,0,1184,21,10,182,33,67,3200,1381869,679958
111,0,1188,21,10,182,33,67,3200,1381869,679958
112,0,1192,21,10,182,33,67,3200,1381869,679958
113,0,1196,21,10,182,33,67,3200,1381869,679958
115,0,1200,21,10,182,33,67,3200,1381869,679958
116,0,1204,21,10,182,33,67,3200,1381270,679978
117,0,1208,21,10,182,33,66,3200,1381270,679978
118,0,1212,21,10,182,33,66,3200,1381270,679978
119,0,1216,21,10,182,33,66,3200,1381270,679978
120,0,1220,21,10,183,33,66,3200,1383267,679874
121,0,1224,21,10,183,33,66,3200,1383267,679874
123,0,1228,21,10,183,33,66,3200,1383267,679874
124,0,1232,21,10,183,33,66,3200,1383267,679874
125,0,1236,21,10,183,33,66,3200,1383267,679874
126,0,1240,21,10,183,33,66,3200,1383267,679874
127,0,1244,20,10,183,33,66,3200,1362296,680972
129,0,1248,20,10,183,33,66,3200,1335334,682384
130,0,1252,20,10,183,33,78,3200,1312566,683576
131,0,1256,19,10,183,33,78,3200,1290996,684706
132,0,1260,19,10,183,33,78,3200,1266430,685993
133,0,1264,18,10,183,33,90,3200,1240666,687342
134,0,1268,18,10,181,33,90,3200,1232868,687478
135,0,1272,18,10,177,33,90,3200,1228075,687227
136,0,1276,18,10,173,33,90,3200,1219143,686131
137,0,1280,18,10,171,33,90,3200,1211440,684911
138,0,1284,18,10,168,33,98,3200,1196768,681793
139,0,1288,17,10,165,33,98,3200,1179382,677135
140,0,1292,17,10,164,33,98,3200,1168424,673993
141,0,1296,17,10,163,33,98,3200,1152359,669082
142,0,1300,17,10,163,33,98,3200,1142605,666100
143,0,1304,17,10,163,33,98,3200,1127687,661540
144,0,1308,17,10,163,33,98,3200,1117933,658558
145,0,1312,16,9,163,33,98,3200,1098999,652770
146,0,1316,16,9,163,33,98,3200,1084081,648210
147,0,1320,16,9,166,33,99,3200,1063705,643130
148,0,1324,15,9,169,33,99,3200,1048392,640154
149,0,1328,15,9,171,33,99,3200,1041874,639122
150,0,1332,15,9,177,33,99,3200,1029891,638495
151,0,1336,15,9,181,33,99,3200,1020293,638662
152,0,1340,15,9,187,33,99,3200,1003023,640782
153,0,1344,15,9,190,33,99,3200,990024,643074
155,0,1348,14,9,194,33,99,3200,949272,653234
156,0,1352,13,10,196,33,99,3200,916974,662495
158,0,1356,13,10,197,33,99,3200,881974,673195
159,0,1360,12,10,197,33,99,3200,851564,682491
160,0,1364,12,10,197,33,99,3200,826892,690033
161,0,1368,12,10,197,33,99,3200,803941,697049
162,0,1372,11,10,197,33,99,3200,783285,703363
163,0,1376,11,10,197,33,99,3200,759761,710555
164,0,1380,11,10,197,33,99,3200,754597,712133
165,0,1384,11,10,197,33,99,3200,739679,716693
166,0,1388,11,10,197,33,99,3200,733368,718622
167,0,1392,11,10,197,33,99,3200,737193,717453
169,0,1396,11,10,197,33,99,3200,753258,712542
170,0,1400,12,10,199,33,99,3200,791078,699520
171,0,1404,12,10,202,33,99,3200,828164,684536
172,0,1408,13,10,205,33,99,3200,852090,673380
173,0,1412,13,10,210,33,99,3200,879109,657781
174,0,1416,13,9,214,33,99,3200,890052,650400
175,0,1420,13,9,220,33,99,3200,896793,644744
176,0,1424,13,9,223,33,99,3200,896793,644744
178,0,1428,13,9,229,33,99,3200,896006,645649
179,0,1432,13,9,234,33,99,3200,894243,648076
180,0,1436,13,10,246,33,99,3200,889607,658490
181,0,1440,13,10,257,33,99,3200,886233,673105
182,0,1444,13,10,264,33,99,3200,885481,680265
183,0,1448,13,10,270,33,99,3200,885481,679066
184,0,1452,13,10,270,33,99,3200,885481,679066
185,0,1456,13,10,270,33,99,3200,885481,679066
186,0,1460,13,10,270,33,99,3200,885481,679066
187,0,1464,13,10,270,33,99,3200,885481,679066
188,0,1468,13,10,265,33,99,3200,885585,677871
189,0,1472,13,10,257,33,99,3200,886034,675923
190,0,1476,13,10,240,33,99,3200,886034,675923
191,0,1480,13,10,220,33,99,3200,883736,677851
192,0,1484,13,10,206,33,99,3200,879422,679955
194,0,1488,13,10,189,33,99,3200,870533,681362
195,0,1492,13,10,182,33,99,3200,859740,681738
196,0,1496,12,10,175,33,99,3200,849579,680850
197,0,1500,12,10,175,33,99,3200,849579,680850
198,0,1504,12,10,175,33,99,3200,849579,680850
199,0,1508,12,10,175,33,99,3200,849579,680850
200,0,1512,12,10,175,33,99,3200,849579,680850
201,0,1516,12,10,175,33,99,3200,849579,680850
203,0,1520,12,10,175,33,99,3200,847189,680641
204,0,1524,12,10,175,33,99,3200,826270,678811
205,0,1528,12,10,175,33,99,3200,798178,676354
206,0,1532,11,10,175,33,99,3200,765304,673479
208,0,1536,11,10,175,33,99,3200,737810,671074
209,0,1540,10,10,175,33,99,3200,713304,668931
210,0,1544,10,10,175,33,99,3200,691189,666997
211,0,1548,10,10,176,33,99,3200,666650,665282
212,0,1552,10,10,177,33,99,3200,663055,665094
213,0,1556,9,10,177,33,99,3200,655266,664686
214,0,1560,9,10,176,33,99,3200,649880,664310
215,0,1564,9,10,170,33,99,3200,638063,662227
216,0,1568,9,9,160,33,99,3200,618330,655045
217,0,1572,9,9,154,33,99,3200,603231,647681
219,0,1576,8,9,147,33,99,3200,581594,633630
220,0,1580,8,9,144,33,99,3200,552470,612470
221,0,1584,8,9,143,33,99,3200,524678,591528
222,0,1588,7,8,143,33,99,3200,504074,576002
223,0,1592,7,8,143,33,99,3200,484428,561198
225,0,1596,7,8,144,33,99,3200,465983,547797
226,0,1600,6,8,149,33,99,3200,442840,533892
227,0,1604,6,7,153,33,99,3200,418783,521635
228,0,1608,5,7,156,33,99,3200,389185,508458
229,0,1612,5,7,157,33,99,3200,358257,495330
230,0,1616,5,7,157,33,99,3200,330642,483609
231,0,1620,4,7,157,33,99,3200,299714,483609
232,0,1624,4,7,156,33,99,3200,275597,483609
233,0,1628,3,7,155,33,99,3200,246777,483609
234,0,1632,3,7,153,33,99,3200,234482,483609
235,0,1636,3,7,149,33,99,3200,219054,483609
236,0,1640,3,7,138,33,99,3200,209691,483609
237,0,1644,3,7,122,33,99,3200,199835,483609
238,0,1648,2,7,116,33,99,3200,191945,483609
239,0,1652,2,7,114,33,99,3200,186821,483609
240,0,1656,2,7,112,33,99,3200,181202,483609
242,0,1660,2,7,109,33,99,3200,179054,483609
243,0,1664,2,7,108,33,99,3200,176088,483609
245,0,1668,2,7,108,33,99,3200,172566,483609
246,0,1672,2,7,101,33,99,3200,168789,483609
247,0,1676,2,7,99,33,99,3200,168789,483609
248,0,1680,2,7,99,33,99,3200,169101,485584
249,0,1684,2,7,99,33,99,3200,169101,485584
250,0,1688,2,7,99,33,99,3200,169101,485584
251,0,1692,2,7,99,33,99,3200,169101,485584
252,0,1696,2,7,99,33,99,3200,169101,485584
253,0,1700,2,7,99,33,99,3200,169101,485584
254,0,1704,2,7,99,33,99,3200,169101,485584
255,0,1708,2,7,99,33,99,3200,169101,485584
3,0,1712,2,7,99,33,99,3200,169101,485584
5,0,1716,2,7,101,33,99,3200,168873,484407
6,0,1720,2,7,104,33,99,3200,166841,484407
8,0,1724,2,7,104,33,99,3200,164809,484407
26,0,1728,2,7,104,33,98,3300,164809,484407
27,0,1732,2,7,105,33,98,3300,164809,484407
28,0,1736,2,7,105,33,98,3300,164809,484407
30,0,1740,2,7,105,33,98,3300,164809,484407
31,0,1744,2,7,105,33,98,3300,164809,484407
32,0,1748,2,7,105,33,98,3300,164809,484407
33,0,1752,2,7,105,33,98,3300,164809,484407
34,0,1756,2,7,105,33,97,3300,164809,484407
35,0,1760,2,7,104,33,97,3300,163648,479750
37,0,1764,2,7,100,33,97,3300,161461,467342
38,0,1768,2,6,89,33,97,3300,162036,434348
40,0,1772,2,6,72,33,97,3300,170749,407529
42,0,1776,2,6,61,33,97,3300,170749,399658
44,0,1780,2,6,44,33,97,3300,172043,398408
48,0,1784,2,6,44,33,97,3300,172043,398408
50,0,1788,2,6,43,33,97,3300,170581,399771
53,0,1792,2,6,37,33,97,3300,164831,404104
56,0,1796,2,6,33,33,97,3300,161477,406282
59,0,1800,2,6,32,33,97,3300,160799,406705
62,0,1804,2,6,32,33,97,3300,160799,406705
65,0,1808,2,6,32,33,97,3300,160799,406705
68,0,1812,2,6,32,33,97,3300,160799,406705
71,0,1816,2,6,32,33,96,3400,160799,406705
73,0,1820,2,6,32,33,96,3400,160799,406705
75,0,1824,2,6,31,33,96,3400,159085,407735
78,0,1828,2,6,31,33,96,3400,159085,411237
79,0,1832,2,6,31,33,96,3400,156343,412885
80,0,1836,2,6,31,33,96,3400,156343,412885
81,0,1840,2,6,31,33,96,3400,156343,412885
82,0,1844,2,6,31,33,95,3400,156343,412885
85,0,1848,2,6,31,33,95,3400,156343,412885
86,0,1852,2,6,31,33,95,3400,156857,412576
89,0,1856,2,6,31,33,95,3400,160457,410413
91,0,1860,2,6,32,33,95,3400,167071,406280
93,0,1864,2,6,32,33,95,3400,167071,406280
96,0,1868,2,6,32,33,95,3400,167071,406280
97,0,1872,2,6,32,33,95,3400,167071,406280
101,0,1876,2,6,32,33,95,3400,167071,406280
104,0,1880,2,6,32,33,94,3400,167071,406280
106,0,1884,2,6,32,33,94,3400,167071,406280
110,0,1888,2,6,32,33,94,3400,167071,406280
113,0,1892,2,6,32,33,94,3400,167071,406280
115,0,1896,2,6,32,33,94,3400,167071,406280
118,0,1900,2,6,32,33,94,3400,167071,406280
121,0,1904,2,6,32,33,94,3400,167071,406280
126,0,1908,2,6,32,33,93,3400,167071,406280
127,0,1912,2,6,32,33,93,3400,167071,406280
130,0,1916,2,6,32,33,93,3400,167071,406280
132,0,1920,2,6,32,33,93,3400,167071,406280
133,0,1924,2,6,32,33,93,3400,167071,406280
135,0,1928,2,6,32,33,93,3400,167071,406280
137,0,1932,2,6,32,33,93,3400,167071,406280
139,0,1936,2,6,32,33,92,3400,167071,406280
143,0,1940,2,6,32,33,92,3400,167071,406280
145,0,1944,2,6,32,33,92,3400,167071,406280
148,0,1948,2,6,32,33,92,3400,167071,406280
152,0,1952,2,6,32,33,92,3400,167071,406280
156,0,1956,2,6,32,33,92,3400,167071,406280
161,0,1960,2,6,32,33,92,3400,167071,406280
164,0,1964,2,6,32,33,91,3400,167071,406280
166,0,1968,2,6,32,33,91,3400,167071,406280
171,0,1972,2,6,32,33,91,3400,167071,406280
175,0,1976,2,6,32,33,91,3400,167071,406280
178,0,1980,2,6,32,33,91,3400,167071,406280
180,0,1984,2,6,32,33,91,3400,167071,406280
184,0,1988,2,6,32,33,91,3400,167071,406280
187,0,1992,2,6,32,33,90,3500,167071,406280
189,0,1996,2,6,32,33,90,3500,167071,406280
191,0,2000,2,6,32,33,90,3500,167071,406280
194,0,2004,2,6,32,33,90,3500,167071,406280
196,0,2008,2,6,32,33,90,3500,167071,406280
198,0,2012,2,6,32,33,90,3500,167071,406280
200,0,2016,2,6,32,33,90,3500,167071,406280
206,0,2020,2,6,32,21,89,3500,167071,406280
209,0,2024,2,6,32,21,89,3500,167071,406280
211,0,2028,2,6,32,21,89,3500,167071,406280
212,0,2032,2,6,32,21,89,3500,167071,406280
214,0,2036,2,6,32,21,89,3500,167071,406280
217,0,2040,2,6,32,21,89,3500,167071,406280
221,0,2044,2,6,32,21,89,3500,167071,406280
224,0,2048,2,6,32,21,88,3500,167071,406280
227,0,2052,2,6,32,21,88,3500,167071,406280
231,0,2056,2,6,32,21,88,3500,167071,406280
234,0,2060,2,6,32,21,88,3500,167071,406280
238,0,2064,2,6,34,21,88,3500,165082,407622
240,0,2068,2,6,40,21,88,3500,154971,416106
243,0,2072,2,6,55,21,88,3500,154971,448871
244,0,2076,2,7,66,21,88,3500,139516,483585
245,0,2080,2,7,79,21,88,3500,131885,522849
246,0,2084,1,8,82,21,88,3500,128156,549388
247,0,2088,1,8,83,21,88,3500,127182,557328
248,0,2092,1,8,83,21,88,3500,127036,558519
249,0,2096,1,8,83,21,88,3500,126793,560504
250,0,2100,1,8,83,21,88,3500,126647,561695
252,0,2104,1,8,83,21,88,3500,126647,561695
253,0,2108,1,8,83,21,88,3500,126647,561695
254,0,2112,1,8,83,21,88,3500,126647,561695
0,0,2116,1,8,83,21,88,3500,126647,561695
3,0,2120,1,8,82,21,88,3500,126592,562091
4,0,2124,1,8,81,21,88,3500,126592,562091
5,0,2128,1,8,81,21,88,3500,126592,562091
6,0,2132,1,8,81,21,88,3500,126592,562091
7,0,2136,1,8,80,21,88,3500,126592,562091
8,0,2140,1,8,82,21,88,3500,126842,560309
9,0,2144,1,8,85,21,88,3500,127260,555528
10,0,2148,1,8,85,21,88,3500,127260,555528
11,0,2152,1,8,90,21,88,3500,127260,546529
13,0,2156,1,8,93,21,88,3500,127280,546928
14,0,2160,1,8,93,21,88,3500,127363,548525
