rndindex,playstate,timeCount,tilex,tiley,angle,health,ammo,score,x,y
1,0,4,7,10,0,100,8,0,491520,688128
2,0,8,7,10,0,100,8,0,491520,688128
3,0,12,7,10,0,100,8,0,491520,688128
4,0,16,7,10,0,100,8,0,491520,688128
5,0,20,7,10,0,100,8,0,491520,688128
6,0,24,7,10,0,100,8,0,491520,688128
7,0,28,7,10,0,100,8,0,491520,688128
8,0,32,7,10,0,100,8,0,495719,688128
9,0,36,7,10,0,100,8,0,499318,688128
10,0,40,7,10,0,100,8,0,504117,688128
11,0,44,7,10,0,100,16,0,505916,688128
13,0,48,7,10,0,100,16,0,505916,688128
14,0,52,7,10,0,100,16,0,505916,688128
15,0,56,7,10,0,100,16,0,505916,688128
16,0,60,7,10,0,100,16,0,505916,688128
17,0,64,7,10,0,100,16,0,505916,688128
18,0,68,7,10,0,100,16,0,505916,688128
19,0,72,7,10,0,100,16,0,505916,688128
20,0,76,8,10,0,100,16,0,548515,688128
22,0,80,9,10,0,100,24,0,590514,688128
23,0,84,9,10,0,100,24,0,632513,688128
24,0,88,10,10,0,100,32,0,674512,688128
25,0,92,10,10,0,100,40,0,716511,688128
26,0,96,11,10,0,100,40,0,758510,688128
29,0,100,12,10,0,100,48,0,800509,688128
31,0,104,12,10,0,100,56,0,842508,688128
32,0,108,13,10,0,100,56,0,884507,688128
36,0,112,14,10,0,100,64,0,926506,688128
39,0,116,14,10,0,100,72,0,968505,688128
42,0,120,15,10,0,100,72,0,1010504,688128
49,0,124,16,10,0,100,80,0,1052503,688128
53,0,128,16,10,0,100,80,0,1094502,688128
57,0,132,17,10,0,100,80,0,1136501,688128
62,0,136,17,10,0,100,88,0,1178500,688128
66,0,140,18,10,0,100,88,0,1220499,688128
74,0,144,19,10,0,100,96,0,1262498,688128
79,0,148,19,10,0,100,96,0,1262498,688128
82,0,152,19,10,0,100,96,0,1262498,688128
91,0,156,19,10,0,100,96,0,1262498,688128
96,0,160,19,10,0,100,96,0,1265497,688128
101,0,164,19,10,0,100,96,0,1277496,688128
106,0,168,19,10,0,100,99,0,1306895,688128
109,0,172,20,10,0,100,99,0,1329094,688128
115,0,176,20,10,3,100,99,0,1366242,686182
120,0,180,21,10,15,100,99,0,1391742,679350
127,0,184,21,10,35,100,99,0,1391742,679350
134,0,188,21,10,55,100,99,0,1400689,679350
137,0,192,21,10,75,100,99,0,1391994,679350
144,0,196,21,10,95,100,99,0,1393806,679350
150,0,200,21,10,115,100,99,0,1403103,679350
157,0,204,21,10,133,100,99,0,1403103,679350
162,0,208,21,10,140,100,99,0,1403103,679350
170,0,212,21,10,147,100,99,0,1403103,679350
175,0,216,21,10,154,100,99,0,1405260,680402
182,0,220,21,10,161,100,99,0,1393914,680402
189,0,224,21,10,168,100,99,0,1382177,677908
195,0,228,20,10,171,100,99,0,1373288,677908
203,0,232,20,10,175,100,99,0,1361334,677908
207,0,236,20,10,175,100,99,0,1358346,677908
215,0,240,20,10,175,100,99,0,1357749,677908
225,0,244,20,10,176,100,99,0,1350567,677908
231,0,248,20,10,178,100,99,0,1343972,677908
237,0,252,20,10,179,100,99,0,1342773,677888
241,0,256,20,10,180,100,99,0,1342174,677888
249,0,260,20,10,180,100,99,0,1342174,677888
2,0,264,20,10,180,100,98,0,1341575,677888
9,0,268,20,10,182,100,98,0,1343573,677888
17,0,272,20,10,182,100,98,0,1343573,677888
22,0,276,20,10,182,100,98,0,1343573,677888
28,0,280,20,10,182,100,98,0,1343573,677888
37,0,284,20,10,182,100,98,0,1343573,677888
44,0,288,20,10,182,100,98,0,1343573,677888
52,0,292,20,10,182,100,98,0,1343573,677888
60,0,296,20,10,182,100,98,0,1343573,677888
68,0,300,20,10,183,100,97,0,1344771,677888
77,0,304,20,10,183,100,97,0,1346368,677888
86,0,308,20,10,183,100,97,0,1346767,677888
93,0,312,20,10,183,100,97,0,1346767,677888
97,0,316,20,10,183,100,97,0,1346767,677888
104,0,320,20,10,183,100,97,0,1346767,677888
111,0,324,20,10,183,100,97,0,1346767,677888
120,0,328,20,10,183,100,96,0,1346767,677888
128,0,332,20,10,183,100,96,0,1346767,677888
135,0,336,20,10,183,100,96,0,1346767,677888
141,0,340,20,10,183,100,96,0,1346767,677888
148,0,344,20,10,183,100,96,0,1346767,677888
157,0,348,20,10,183,100,96,0,1346767,677888
165,0,352,20,10,183,100,96,0,1346767,677888
173,0,356,20,10,183,100,95,0,1346767,677888
183,0,360,20,10,183,100,95,0,1346767,677888
189,0,364,20,10,183,100,95,0,1346767,677888
198,0,368,20,10,183,100,95,0,1346767,677888
206,0,372,20,10,183,100,95,0,1346767,677888
215,0,376,20,10,183,100,95,0,1347166,677888
223,0,380,20,10,183,100,95,0,1347964,677888
229,0,384,20,10,183,100,95,0,1348762,677888
240,0,388,20,10,183,100,94,400,1349960,677888
252,0,392,20,10,183,100,94,400,1349960,677888
2,0,396,20,10,183,100,94,400,1349960,677888
7,0,400,20,10,183,100,94,400,1350359,677888
12,0,404,20,10,183,100,94,400,1350359,677888
20,0,408,20,10,183,100,94,400,1350758,677888
28,0,412,20,10,183,100,94,400,1353154,677888
35,0,416,20,10,183,100,93,400,1354352,677888
44,0,420,20,10,183,100,93,400,1354352,677888
54,0,424,20,10,183,96,93,400,1354352,677888
62,0,428,20,10,183,96,93,400,1355550,677888
70,0,432,20,10,185,96,93,400,1355550,677888
78,0,436,20,10,185,96,93,400,1355550,677888
84,0,440,20,10,185,96,93,400,1355550,677888
91,0,444,20,10,185,96,92,400,1355550,677888
96,0,448,20,10,185,96,92,400,1355550,677888
104,0,452,20,10,185,96,92,400,1355550,677888
109,0,456,20,10,185,96,92,400,1355550,677888
114,0,460,20,10,186,96,92,400,1361517,677888
119,0,464,20,10,187,96,92,400,1363502,677888
125,0,468,20,10,186,86,92,400,1361116,678138
