rndindex,playstate,timeCount,tilex,tiley,angle,health,ammo,score,x,y
20,0,4,32,50,270,100,8,0,2129920,3309568
21,0,8,32,50,270,100,8,0,2129920,3309568
22,0,12,32,50,270,100,8,0,2129920,3309568
23,0,16,32,50,270,100,8,0,2129920,3309568
24,0,20,32,50,270,100,8,0,2129920,3309568
25,0,24,32,50,270,100,8,0,2129920,3309568
26,0,28,32,50,270,100,8,0,2129920,3309568
27,0,32,32,50,270,100,8,0,2129920,3309568
28,0,36,32,50,270,100,8,0,2129920,3309568
29,0,40,32,50,270,100,8,0,2129920,3309568
30,0,44,32,50,270,100,8,0,2129920,3309568
31,0,48,32,50,270,100,8,0,2129920,3309568
32,0,52,32,50,270,100,8,0,2129920,3333567
33,0,56,32,51,270,100,8,0,2129920,3357566
34,0,60,32,51,270,100,8,0,2129920,3378565
35,0,64,32,51,270,100,8,0,2129920,3399564
37,0,68,32,52,270,100,8,0,2129920,3421163
38,0,72,32,52,270,100,8,0,2129920,3443962
39,0,76,32,53,270,100,8,0,2129920,3473961
40,0,80,32,53,270,100,8,0,2129920,3511760
41,0,84,32,54,270,100,8,0,2129920,3556814
42,0,88,32,54,271,100,8,0,2130579,3594608
43,0,92,32,55,273,100,8,0,2132462,3630558
44,0,96,32,56,276,100,8,0,2137040,3674117
45,0,100,32,56,281,100,8,0,2137040,3715344
46,0,104,32,57,284,100,8,0,2137040,3746781
47,0,108,32,57,289,100,8,0,2147978,3778550
48,0,112,32,58,292,100,8,0,2157867,3803027
49,0,116,33,58,298,100,8,0,2170824,3827395
50,0,120,33,58,301,100,8,0,2183802,3848995
51,0,124,33,59,303,100,8,0,2198833,3872142
53,0,128,33,59,306,100,8,0,2198833,3899324
54,0,132,33,59,310,100,8,0,2198833,3924603
55,0,136,33,60,317,100,8,0,2198833,3953655
57,0,140,33,60,323,100,8,0,2227583,3975320
59,0,144,34,60,333,100,8,0,2267727,3995774
61,0,148,35,61,353,100,8,0,2304053,4000233
62,0,152,35,61,353,100,8,0,2304053,4000233
63,0,156,35,61,353,100,8,0,2304053,4000233
64,0,160,35,61,353,100,8,0,2304053,4000233
65,0,164,35,61,353,100,8,0,2304053,4000233
68,0,168,35,61,346,100,8,0,2302889,3999943
70,0,172,35,61,342,100,8,0,2298324,3998460
72,0,176,35,61,344,100,8,0,2298324,3998460
75,0,180,35,61,355,100,8,0,2296731,3998321
77,0,184,35,61,1,100,8,0,2296332,3998327
81,0,188,35,61,4,100,8,0,2295933,3998354
86,0,192,35,61,4,100,8,0,2295933,3998354
87,0,196,35,61,5,100,8,0,2297726,3998198
103,0,200,35,60,9,100,7,0,2305429,3996978
106,0,204,35,60,11,100,7,0,2316619,3994803
109,0,208,35,60,11,100,7,0,2324864,3993201
113,0,212,35,60,11,100,7,0,2332520,3991713
115,0,216,35,60,12,100,7,0,2347192,3988595
118,0,220,35,60,12,100,7,0,2350713,3987847
121,0,224,35,60,12,100,7,0,2355994,3986725
125,0,228,36,60,12,100,6,0,2361862,3985478
128,0,232,36,60,11,100,6,0,2374819,3982960
130,0,236,36,60,11,100,6,0,2374819,3981129
131,0,240,36,60,11,100,6,0,2380119,3980099
132,0,244,36,60,11,100,6,0,2380707,3979985
133,0,248,36,60,11,100,6,0,2381884,3979757
135,0,252,36,60,11,100,6,0,2381884,3978613
137,0,256,36,60,11,100,6,0,2381884,3977698
140,0,260,36,60,11,100,5,0,2381884,3976439
141,0,264,36,60,11,100,5,0,2383061,3976211
144,0,268,36,60,11,100,5,0,2383649,3976097
148,0,272,36,60,11,86,5,0,2383649,3976097
151,0,276,36,60,11,86,5,0,2383649,3976097
153,0,280,36,60,11,86,5,0,2383649,3975983
154,0,284,36,60,11,86,5,0,2383649,3975755
157,0,288,36,60,11,86,4,500,2383649,3975412
161,0,292,36,60,11,58,4,500,2383649,3975412
163,0,296,36,60,11,58,4,500,2383649,3975412
165,0,300,36,60,11,58,4,500,2383649,3975412
166,0,304,36,60,11,58,4,500,2383649,3975412
168,0,308,36,60,11,58,4,500,2383649,3975412
170,0,312,36,60,11,58,4,500,2383649,3975412
171,0,316,36,60,11,58,3,500,2384237,3975298
172,0,320,36,60,11,58,3,500,2392482,3973696
174,0,324,37,60,12,58,9,500,2436551,3964330
175,0,328,37,60,28,58,9,500,2476331,3964330
178,0,332,38,60,48,47,9,500,2506478,3964330
179,0,336,38,60,68,47,9,500,2523355,3964330
180,0,340,38,60,88,47,9,500,2523342,3964729
